accident_id,crosswalk_id,distance_m
6778766,CW_040719,24.47530953206956
6778767,CW_004648,30.41352147342398
6778883,CW_041190,61.46738949785995
6778889,CW_038982,6.221322314240662
6778895,CW_020745,43.1927795411477
6778905,CW_018676,9.817145283291367
6778910,CW_017050,10.776369109539727
6778911,CW_036602,25.841636387225872
6778915,CW_034122,31.523674173107807
6778922,CW_017175,10.591473743596769
6778927,CW_033235,15.506265141487066
6778930,CW_041963,34.40897883076742
6778944,CW_028097,9.792004808021067
6778946,CW_015041,25.349565364017806
6778949,CW_040738,13.780716562026328
6778962,CW_018283,51.726254539737965
6778965,CW_003481,42.607725929256176
6778976,CW_040877,17.818353934029552
6778978,CW_042647,78.38442650604964
6778990,CW_041192,19.299515877913947
6778997,CW_001394,9.572844346865406
6779001,CW_049415,62.19949551805112
6779016,CW_033304,70.2205066327181
6779017,CW_021167,15.88367271609406
6779021,CW_014294,55.90418229374608
6779023,CW_015419,11.50862786876456
6779025,CW_047586,11.946956953951329
6779030,CW_036965,76.08315669741528
6779036,CW_034125,38.6074140817342
6779041,CW_031591,32.7206635917691
6779042,CW_001602,45.29978399712901
6779062,CW_036202,76.47599727386263
6779065,CW_034056,34.41722235663984
6779085,CW_031589,32.361090476378706
6779086,CW_034091,16.439752498897818
6779092,CW_019185,45.0437601904043
6779101,CW_034001,63.43701428529144
6779106,CW_017126,32.29694235459424
6779122,CW_025249,59.83750225252347
6779127,CW_006968,42.54751245444309
6779128,CW_034057,56.42658733651154
6779130,CW_021121,58.051713529213366
6779132,CW_040862,27.012880123051296
6779133,CW_021569,76.00363502861812
6779136,CW_035788,54.85781746837093
6779142,CW_010539,12.89543835043644
6779165,CW_012932,75.5250987742722
6779178,CW_037164,54.10453032264391
6779183,CW_004203,52.65933951661448
6779184,CW_047701,94.30886415797302
6779186,CW_004728,67.76980786245437
6779189,CW_004239,95.10653332741724
6779196,CW_034692,66.67791319205762
6779201,CW_026099,48.60740917370038
6779203,CW_045291,36.83477987508176
6779207,CW_010238,39.54827022854771
6779217,CW_014478,98.93855084476613
6779218,CW_009767,31.66540111911228
6779224,CW_040919,35.00262271668519
6779238,CW_010147,48.77859847489726
6779248,CW_004734,69.14229847170138
6779249,CW_041329,11.63514939007854
6779251,CW_014292,59.57798857531704
6779263,CW_005243,28.433944573014504
6779272,CW_033563,21.636380333106487
6779274,CW_015700,44.26826753402066
6779275,CW_033267,44.84270330833106
6779278,CW_034118,67.30963061753313
6779279,CW_010385,11.190263270552222
6779281,CW_014883,37.30052339206566
6779285,CW_005787,24.31745884746444
6779287,CW_036481,54.29314825868486
6779288,CW_020728,31.265670786750675
6779293,CW_014544,39.09292028607709
6779302,CW_006657,8.752795378035064
6779309,CW_021651,27.606604049703595
6779316,CW_005708,91.66205996404184
6779319,CW_033997,48.8914897662004
6779320,CW_046992,63.20797558634181
6779322,CW_006953,55.77202983304309
6779326,CW_018667,35.906329912804544
6779334,CW_004822,20.74430230357692
6779335,CW_033317,71.81567645347832
6779349,CW_040277,37.72845697211554
6779356,CW_010898,17.871100161400868
6779360,CW_015423,23.499146063569125
6779364,CW_026051,52.83511595659592
6779369,CW_016119,81.39213437159857
6779374,CW_040791,60.11335808074725
6779508,CW_016983,22.863795547222526
6779509,CW_030504,76.247413590775
6779522,CW_034108,67.11017150851747
6779536,CW_025154,64.11808293905874
6779562,CW_014508,18.816709267091326
6779569,CW_030303,50.96682364533026
6779590,CW_040969,26.351232684586464
6838142,CW_025249,53.79110333691103
6838160,CW_034124,55.590064011679466
6838166,CW_006953,58.95973572218477
6838168,CW_010391,24.37598483056778
6838174,CW_015040,37.89160218454091
6838179,CW_017049,18.54233695676548
6838180,CW_003481,34.31700411645429
6838181,CW_040791,55.994813839871526
6838184,CW_036050,28.53419208581658
6838206,CW_013374,59.007888480000965
6838210,CW_001604,41.180777845420685
6838220,CW_017984,50.09818353778127
6838224,CW_030597,33.86147349686768
6838228,CW_041190,76.53103724798459
6838229,CW_038983,41.08643493021749
6838235,CW_012105,47.17021165511839
6838256,CW_035793,68.02802005543849
6838257,CW_003090,42.16892743190326
6838264,CW_014478,19.579412205747325
6838272,CW_042647,78.21859585820835
6838278,CW_036602,52.30037720552101
6838279,CW_021167,31.35796649219401
6838283,CW_034095,37.259389787420126
6838293,CW_044339,41.56416816834594
6838296,CW_004202,99.69157736982004
6838300,CW_049500,71.44856807619723
6838305,CW_015418,35.246176125189194
6838311,CW_001440,17.32009855291145
6838315,CW_040862,46.11387010092276
6838317,CW_034056,13.101602530832272
6838320,CW_005342,64.10097838575572
6838324,CW_036240,50.53744971461154
6838333,CW_041540,40.25950295833351
6838336,CW_004658,43.93295898662862
6838339,CW_041546,42.421554261567664
6838340,CW_033997,29.136404863279484
6838345,CW_014076,34.22015079286243
6838347,CW_025152,82.92805225373861
6838351,CW_010147,57.19252514047159
6838359,CW_046949,95.9579837712647
6838363,CW_026244,53.03293683265545
6838367,CW_010239,44.07041953593377
6838371,CW_014544,49.39375669117227
6838376,CW_016954,32.91830973649105
6838381,CW_020736,62.55771339105712
6838383,CW_045291,59.66453808904184
6838385,CW_013498,78.35875119024614
6838397,CW_014884,97.10996139910571
6838400,CW_039929,30.45876153518347
6838406,CW_016441,58.54327463766565
6838409,CW_014271,79.28860215774306
6838421,CW_010898,8.649276381773952
6838423,CW_041192,43.0996949165063
6838426,CW_045322,65.27595990236514
6838427,CW_036965,38.51291985583288
6838434,CW_040735,28.0224229592223
6838440,CW_006968,88.40101615183247
6838441,CW_021158,82.23687896556275
6838449,CW_034001,44.26811398153998
6838452,CW_003494,84.94985595163875
6838468,CW_020358,88.96317054413335
6838476,CW_033519,78.5396656538542
6838477,CW_010529,46.02390640538237
6838480,CW_048747,63.09599362252119
6838497,CW_036997,86.53473194210135
6838500,CW_008778,86.24394011651256
6838510,CW_022615,27.016130467638284
6838512,CW_033267,53.131433935946944
6838513,CW_021121,97.99651561853037
6838514,CW_001174,60.97043519181817
6838522,CW_019474,45.23238116475179
6838534,CW_019184,35.14360042051245
6838540,CW_044334,41.32923208360282
6838552,CW_014400,47.82787154510884
6838553,CW_033527,27.49353085708832
6838558,CW_020973,14.494887902618224
6838568,CW_014877,46.89343442644819
6838569,CW_014486,97.79448009734756
6838575,CW_017922,87.58192079636261
6838576,CW_004239,32.53451849175998
6838590,CW_031832,58.77970987322309
6838591,CW_031262,74.56382814935381
6838595,CW_019636,61.10314587356343
6838598,CW_023476,35.61758055971337
6931792,CW_035200,13.990481922843614
6931795,CW_038364,19.82429457477685
6931810,CW_010238,24.69047079259127
6931817,CW_004658,30.963533727212024
6931823,CW_041195,71.92978571314215
6931825,CW_040862,26.92417885101282
6931835,CW_019188,48.03566722156614
6931842,CW_019474,45.23238116475179
6931848,CW_016954,32.91830973649105
6931853,CW_033997,44.586824415631845
6931858,CW_004239,27.51122951580369
6931860,CW_025152,81.81634557470593
6931867,CW_014271,87.71619984378688
6931872,CW_033515,18.339050446251232
6931873,CW_030539,52.45337779384536
6931875,CW_040736,8.241105191963353
6931878,CW_040293,93.3445639348502
6931880,CW_022717,41.63149230830557
6931882,CW_041193,76.3950495684609
6931883,CW_021167,18.079004701076308
6931892,CW_015700,66.77373662626395
6931902,CW_033521,41.320152894243776
6931913,CW_041541,65.87466020227558
6931914,CW_037769,74.75952807423444
6931921,CW_014877,52.44978442525018
6931924,CW_012105,43.0771075684676
6931932,CW_014544,57.12773298982727
6931939,CW_039929,25.81096576256142
6931952,CW_040721,13.51672359352104
6931959,CW_013075,51.11260785190366
6931960,CW_010540,27.570540853120264
6931970,CW_034124,66.9850512628401
6931976,CW_005706,99.4249511873304
6931977,CW_017979,81.27363791485922
6931978,CW_016914,87.25448648399319
6931987,CW_013037,29.86377888558992
6932000,CW_036602,52.30037720552101
6932003,CW_010148,63.01919719270617
6932004,CW_008778,86.24394011651256
6932012,CW_017049,55.198728099085855
6932022,CW_039131,73.69357398850809
6932024,CW_035793,83.05786446410406
6932026,CW_032767,66.0570169739312
6932035,CW_017567,56.32937469365865
6932044,CW_036964,15.242660438178284
6932045,CW_042751,61.42614817041259
6932048,CW_022615,37.56463275941276
6932062,CW_020747,43.427208142361856
6932063,CW_004203,70.85156525618471
6932079,CW_047278,18.82063517564909
6932081,CW_014400,47.82787154510884
6932082,CW_033527,33.53144103719066
6932085,CW_026099,45.045123093587
6932087,CW_038982,68.62451927511121
6932090,CW_031262,76.15666698667363
6932100,CW_003479,96.00417243293316
6932102,CW_048747,63.15285042166644
6932110,CW_003494,79.03108385110671
6932114,CW_036207,57.11079971090333
6932115,CW_021569,35.972257661417224
6932117,CW_049449,73.60073588285293
6932122,CW_020153,73.2288000864962
6932124,CW_001174,46.33976472290252
6932125,CW_014294,58.01151264106343
6932131,CW_018283,56.68084574796225
6932140,CW_018126,75.69722311925005
6932147,CW_010525,46.393036165478144
6932148,CW_041192,69.73978502465927
6932187,CW_045291,21.19671151889261
6932191,CW_036998,45.03183099239372
6932192,CW_049415,65.11660954924663
6932194,CW_042244,88.75539716360008
6932198,CW_013374,59.007888480000965
6932203,CW_003110,80.84666165211887
6932206,CW_033519,77.86359306243561
6932210,CW_020516,72.19867321074294
6932213,CW_014486,22.634275974827062
6932221,CW_020973,2.2367758990940114
6932222,CW_021121,97.99651561853037
6932224,CW_023478,9.108390683604927
6932226,CW_020736,56.600194949482166
6932232,CW_026036,21.71564196989574
7125859,CW_033267,57.63153156471021
7125868,CW_042204,40.37795816217192
7125873,CW_014271,84.49696925813714
7125880,CW_034692,67.83501200668341
7125882,CW_014877,52.44978442525018
7125891,CW_012109,3.2979093556065
7125895,CW_043131,59.067026052465
7125897,CW_025799,55.22710219124491
7125904,CW_020727,22.5967383183554
7125907,CW_040877,92.74694837298571
7125908,CW_026649,33.09016406217165
7125911,CW_010888,45.12987485903838
7125920,CW_031262,37.193134870545215
7125922,CW_041249,64.70895151045366
7125932,CW_017148,59.52870321292556
7125933,CW_040718,16.673781362209557
7125934,CW_018283,54.02202050813848
7125936,CW_017979,63.25935447203821
7125937,CW_033527,33.53144103719066
7125938,CW_035197,85.42803507653652
7125945,CW_013075,91.21343847680023
7125949,CW_015041,32.77313776503662
7125950,CW_010556,32.68562338497985
7125956,CW_041190,32.068112005088814
7125959,CW_030537,18.003385626443514
7125966,CW_035794,45.92749188648987
7125982,CW_004239,52.59298772909838
7125984,CW_016983,63.34312963542337
7125996,CW_036602,92.1546469432746
7126001,CW_020975,68.78263219287767
7126002,CW_008778,86.24394011651256
7126003,CW_040862,36.71303478558379
7126013,CW_017049,55.198728099085855
7126015,CW_017617,62.33293560598655
7126023,CW_023478,9.108390683604927
7126026,CW_013037,94.51064398606457
7126039,CW_040794,50.52190539074392
7126041,CW_026101,48.96398792348533
7126045,CW_037855,38.03024089901497
7126059,CW_036966,44.809238334502176
7126061,CW_018126,80.27734299848939
7126066,CW_003090,76.70207673794751
7126074,CW_020967,32.60257502239313
7126079,CW_013374,52.10523694283251
7126080,CW_034052,26.03140929996582
7126083,CW_020153,89.36819132915295
7126084,CW_010304,45.98392394464915
7126089,CW_020747,33.343272618331554
7126092,CW_048747,63.15285042166644
7126094,CW_032195,21.80127144429052
7126096,CW_014502,56.1873341337421
7126123,CW_033515,22.29229590683363
7126130,CW_015088,52.59544290769605
7126132,CW_036207,51.51472426695092
7126141,CW_041547,30.76218776985863
7126144,CW_017406,82.41267491487376
7126145,CW_021569,55.3956779842786
7126150,CW_001174,46.33976472290252
7126154,CW_014295,31.7080109634186
7126157,CW_033519,64.34224171384867
7126166,CW_010526,47.92830259878295
7126183,CW_012908,72.18084945715098
7126194,CW_004648,16.943074484077453
7126207,CW_040941,15.847911035355532
7126212,CW_031935,23.105357235773106
7126260,CW_034057,26.50874318830051
7126263,CW_023476,37.80551438958325
7126267,CW_025153,40.608417580930585
7126269,CW_041193,38.59750948736579
7126270,CW_020736,58.13641714674101
7126279,CW_033289,42.25743051902055
7126282,CW_019120,84.76042087037419
7126283,CW_019531,15.007887985418057
7126289,CW_025188,39.03731991708547
7126291,CW_033234,31.193419743293283
7126293,CW_042035,48.0039398055421
